id,iri_pre,iri_pt_pre,iri_pt_pre_alt,iri_ec_pre,iri_fs_pre,iri_pd_pre,iri_post,iri_pt_post,iri_pt_post_alt,iri_ec_post,iri_fs_post,iri_pd_post,mes_pre,mes_other_pre,mes_self_pre,mes_affected_pre,mes_perspective_pre,mes_imagination_pre,mes_post,mes_other_post,mes_self_post,mes_affected_post,mes_perspective_post,mes_imagination_post,tssq_pre,tssq_active_pre,tssq_conceptualization_pre,tssq_perspective_pre,tssq_present_pre,tssq_post,tssq_active_post,tssq_conceptualization_post,tssq_perspective_post,tssq_present_post,iri_pre_outliers_excluded,iri_pt_pre_outliers_excluded,iri_pt_pre_alt_outliers_excluded,iri_ec_pre_outliers_excluded,iri_fs_pre_outliers_excluded,iri_pd_pre_outliers_excluded,iri_post_outliers_excluded,iri_pt_post_outliers_excluded,iri_pt_post_alt_outliers_excluded,iri_ec_post_outliers_excluded,iri_fs_post_outliers_excluded,iri_pd_post_outliers_excluded,mes_pre_outliers_excluded,mes_other_pre_outliers_excluded,mes_self_pre_outliers_excluded,mes_affected_pre_outliers_excluded,mes_perspective_pre_outliers_excluded,mes_imagination_pre_outliers_excluded,mes_post_outliers_excluded,mes_other_post_outliers_excluded,mes_self_post_outliers_excluded,mes_affected_post_outliers_excluded,mes_perspective_post_outliers_excluded,mes_imagination_post_outliers_excluded,tssq_pre_outliers_excluded,tssq_active_pre_outliers_excluded,tssq_conceptualization_pre_outliers_excluded,tssq_perspective_pre_outliers_excluded,tssq_present_pre_outliers_excluded,tssq_post_outliers_excluded,tssq_active_post_outliers_excluded,tssq_conceptualization_post_outliers_excluded,tssq_perspective_post_outliers_excluded,tssq_present_post_outliers_excluded
11,101,19,23,26,22,34,104,16,20,29,25,34,90,15,19,18,18,20,100,20,18,25,19,18,87,25,33,13,16,93,25,37,13,18,101,19,23,26,22,34,104,16,20,29,25,34,90,15,19,18,18,20,100,20,18,25,19,18,87,25,33,13,16,93,25,37,13,18
12,73,16,19,21,18,18,74,14,17,20,17,23,77,17,17,12,15,16,75,18,16,11,12,18,86,24,34,11,17,81,23,31,10,17,73,16,19,21,18,18,74,14,17,20,17,23,77,17,17,12,15,16,75,18,16,11,NA,18,86,24,34,11,17,81,23,31,10,17
13,109,25,30,28,31,25,112,29,31,26,35,22,91,19,16,15,21,20,94,22,14,16,21,21,106,41,31,15,19,108,43,32,16,17,109,25,30,28,31,25,112,29,31,26,35,22,91,19,16,15,21,20,94,22,14,16,21,21,106,41,31,15,19,108,43,32,16,17
14,91,24,28,29,17,21,84,23,27,29,16,16,86,17,18,19,17,15,85,20,19,16,20,10,93,37,31,13,12,91,38,27,14,12,91,24,28,29,17,21,84,23,27,29,16,16,86,17,18,19,17,15,85,20,19,16,20,10,93,37,31,13,12,91,38,27,14,12
15,73,24,26,16,17,16,70,22,24,16,18,14,84,11,19,14,20,20,79,11,20,10,21,17,118,46,37,21,14,122,46,36,21,19,73,24,26,NA,17,16,70,22,24,NA,18,14,84,NA,19,14,20,20,79,NA,20,10,21,17,118,46,37,21,14,122,46,36,21,19
16,109,27,31,30,31,21,107,27,31,29,31,20,91,19,15,13,22,22,91,22,15,12,20,22,106,43,30,14,19,103,41,29,14,19,109,27,31,30,31,21,107,27,31,29,31,20,91,19,15,13,22,22,91,22,15,12,20,22,106,43,30,14,19,103,41,29,14,19
17,111,18,22,31,32,30,112,24,26,27,34,27,93,18,19,17,20,19,109,21,19,25,20,24,110,38,38,14,20,113,36,37,19,21,111,18,22,31,32,30,112,24,26,27,34,27,93,18,19,17,20,19,109,21,19,25,20,24,110,38,38,14,20,113,36,37,19,21
18,92,18,23,28,30,16,105,23,28,30,30,22,91,16,19,18,17,21,107,23,19,20,22,23,96,38,26,10,22,103,41,28,13,21,92,18,23,28,30,16,105,23,28,30,30,22,91,16,19,18,17,21,107,23,19,20,22,23,96,38,26,10,22,103,41,28,13,21
19,92,25,29,24,16,27,74,20,22,18,13,23,87,16,18,18,20,15,81,15,18,20,19,9,74,26,26,12,10,75,28,29,9,9,92,25,29,24,16,27,74,20,22,NA,13,23,87,16,18,18,20,15,81,15,18,20,19,9,74,26,26,12,10,75,28,29,9,9
20,113,27,31,25,27,34,102,21,25,26,22,33,93,20,15,17,20,21,100,20,17,25,16,22,102,33,37,12,20,103,35,35,15,18,113,27,31,25,27,34,102,21,25,26,22,33,93,20,15,17,20,21,100,20,17,25,16,22,102,33,37,12,20,103,35,35,15,18
